Name,DOB,Country,Matches,PlayerID,Overs,Average,Wickets,Economy,Strike Rate,Top,Middle,Bottom
Aamer Malik,03/01/1963,Pakistan,14,1068,26,89,0,3.42,156,100,0,0
Aamir Nazir,02/01/1971,Pakistan,6,1259,176.1,29.85,0,3.39,52.85,50,25,25
Aamir Sohail,14/09/1966,Pakistan,47,1653,397.1,41.96,0,2.64,95.32,12,52,36
Aaqib Javed,05/08/1972,Pakistan,22,869,653,34.7,0,2.87,72.56,42.6,31.5,25.9
"Aaron, Varun R",29/10/1989,India,9,3916,198.1,52.61,0,4.78,66.06,44.4,44.4,11.1
"Abbott, Kyle J",18/06/1987,South Africa,6,4002,186.1,23.38,0,2.64,53.19,19,47.6,33.3
Abdul Qadir,15/09/1955,Pakistan,67,1408,2810.2,32.81,5,2.71,72.57,24.6,42.4,33.1
Abdul Razzaq,02/12/1979,Pakistan,46,2191,1168,36.94,0,3.16,70.08,25,40,35
Abdur Rauf,09/12/1978,Pakistan,3,3526,75,46.33,0,3.71,75,33.3,33.3,33.3
Abdur Razzak,15/06/1982,Bangladesh,12,3180,469.3,67.39,0,3.3,122.48,30.4,52.2,17.4
Abdur Rehman,01/03/1980,Pakistan,22,3446,1148.4,29.39,0,2.53,69.62,31.3,35.4,33.3
Abul Hasan,05/08/1992,Bangladesh,3,3965,88,123.67,0,4.22,176,66.7,33.3,0
"Ackerman, Hylton D",14/02/1973,South Africa,4,2128,-1,20.13,-1,-1,-1,-1,-1,-1
"Adams, Andre R",17/07/1975,New Zealand,1,2963,31.4,17.5,0,3.32,31.67,16.7,33.3,50
"Adams, Christopher J",06/05/1970,England,5,2198,20,59,0,2.95,120,0,100,0
"Adams, James C",09/01/1968,West Indies,54,9,469.2,49.48,0,2.85,104.3,11.1,37,51.9
"Adams, Paul R",20/01/1977,South Africa,45,2044,1475,32.87,1,2.99,66.04,20.9,41,38.1
Adnan Akmal,13/03/1985,Pakistan,21,3835,-1,24.63,-1,-1,-1,-1,-1,-1
Aftab Ahmed,10/11/1985,Bangladesh,16,3224,57.2,47.4,0,4.13,68.8,20,40,40
"Afzaal, Usman",09/06/1977,England,3,2976,9,49,0,5.44,54,0,100,0
"Agar, Ashton C",14/10/1993,Australia,2,4224,84,124,0,2.95,252,50,50,0
"Agarkar, Ajit B",04/12/1977,India,26,2159,809.3,47.33,0,3.39,83.74,36.2,37.9,25.9
"Agnew, Jonathan P",04/04/1960,England,3,12,92,93.25,0,4.05,138,25,75,0
"Ahangama, Franklyn S",14/09/1959,Sri Lanka,3,13,133.3,19.33,0,2.61,44.5,44.4,22.2,33.3
Ahmed Shehzad,23/11/1991,Pakistan,11,3675,8,-1,0,3.5,-1,-1,-1,-1
Aizaz Cheema,05/09/1979,Pakistan,7,3890,200,31.9,0,3.19,60,35,35,30
Ajmal Shahzad,27/07/1985,England,1,3765,17,15.75,0,3.71,25.5,0,50,50
Akram Khan,01/11/1968,Bangladesh,8,2237,-1,16.19,-1,-1,-1,-1,-1,-1
Akram Raza,22/11/1964,Pakistan,9,1445,254.2,56.31,0,2.88,117.38,30.8,38.5,30.8
Al Sahariar Rokon,23/04/1978,Bangladesh,15,2238,1,-1,0,13,-1,-1,-1,-1
Alamgir Kabir,10/01/1981,Bangladesh,3,3025,43.3,-1,0,5.08,-1,-1,-1,-1
Al-Amin Hossain,01/01/1990,Bangladesh,6,4247,146.4,76.67,0,3.14,146.67,33.3,50,16.7
"Alderman, Terence M",12/06/1956,Australia,41,32,1696.5,27.15,1,2.72,59.89,37.6,36.5,25.9
"Ali, Moeen M",18/06/1987,England,20,4271,568,37.33,0,3.81,58.76,32.8,32.8,34.5
Ali Hussain Rizvi,06/01/1974,Pakistan,1,2117,18.3,36,0,3.89,55.5,0,50,50
"Allen, Ian B A",06/10/1965,West Indies,2,55,47,36,0,3.83,56.4,0,40,60
"Allott, Geoffrey I",24/12/1971,New Zealand,10,2049,337.1,58.47,0,3.3,106.47,47.4,36.8,15.8
"Allott, Paul J W",14/09/1956,England,13,58,370.5,41.69,0,2.92,85.58,34.6,34.6,30.8
Alok Kapali,01/12/1984,Bangladesh,17,3031,183.5,118.17,0,3.86,183.83,33.3,0,66.7
"Amalean, Kaushik N",07/04/1965,Sri Lanka,2,60,40.4,22.29,0,3.84,34.86,14.3,42.9,42.9
"Ambrose, Curtly E L",21/09/1963,West Indies,98,65,3683.5,20.99,3,2.31,54.58,36.3,36,27.7
"Ambrose, Timothy R",01/12/1982,England,11,3534,-1,29.8,-1,-1,-1,-1,-1,-1
"Amerasinghe, Merenna K D I",05/03/1978,Sri Lanka,1,3466,25,105,0,4.2,150,0,100,0
Aminul Islam,02/02/1968,Bangladesh,13,2236,33,149,0,4.52,198,0,0,100
"Amla, Hashim M",31/03/1983,South Africa,89,3236,9,-1,0,4.11,-1,-1,-1,-1
"Amre, Praveen K",14/08/1968,India,11,69,-1,42.5,-1,-1,-1,-1,-1,-1
Anamul Haque,16/12/1992,Bangladesh,4,3979,-1,9.13,-1,-1,-1,-1,-1,-1
"Anderson, Corey J",13/12/1990,New Zealand,11,3983,174,38.46,0,2.87,80.31,38.5,61.5,0
"Anderson, James M",30/07/1982,England,110,3065,4079.1,28.96,2,3.02,57.45,37.3,37.8,24.9
"Angel, Jo",22/04/1968,Australia,4,76,124.4,46.3,0,3.71,74.8,20,30,50
"Ankola, Salil A",01/03/1968,India,1,78,30,64,0,4.27,90,0,100,0
"Anurasiri, Sangarange D",25/02/1966,Sri Lanka,18,79,662.1,37.76,0,2.34,96.9,34.1,39,26.8
Anwar Hossain,10/12/1983,Bangladesh,1,3062,-1,7,-1,-1,-1,-1,-1,-1
Anwar Hossain Monir,31/12/1981,Bangladesh,3,3052,58,-1,0,5.29,-1,-1,-1,-1
Anwar Khan,24/12/1955,Pakistan,1,926,4,-1,0,2.25,-1,-1,-1,-1
"Arnel, Brent J",03/01/1979,New Zealand,6,3776,168,62.89,0,3.37,112,44.4,44.4,11.1
"Arnold, Russel P",25/10/1973,Sri Lanka,44,2098,222.2,54.36,0,2.69,121.27,27.3,72.7,0
"Arnott, Kevin J",08/03/1961,Zimbabwe,4,94,-1,43.14,-1,-1,-1,-1,-1,-1
Arshad Ayub,02/08/1958,India,13,107,610.3,35.07,0,2.36,89.34,41.5,31.7,26.8
Arshad Khan,22/03/1971,Pakistan,9,2121,423,30,0,2.27,79.31,37.5,46.9,15.6
"Arthurton, Keith L T",21/02/1965,West Indies,33,95,78.5,183,0,2.32,473,0,100,0
"Arun, Bharathi",14/12/1962,India,2,96,42,29,0,2.76,63,50,25,25
Arun Lal,01/08/1955,India,16,970,2.4,-1,0,2.63,-1,-1,-1,-1
Asad Shafiq,28/01/1986,Pakistan,41,3798,14,51,0,3.64,84,0,100,0
Ashfaq Ahmed,06/06/1973,Pakistan,1,1994,23,26.5,0,2.3,69,0,100,0
Ashraf Ali,22/04/1958,Pakistan,8,37,-1,45.8,-1,-1,-1,-1,-1,-1
"Ashwin, Ravichandran",17/09/1986,India,32,3788,1537.2,25.4,4,2.91,52.41,33,34.1,33
"Asif Mujtaba, Mohammad",04/11/1967,Pakistan,25,1231,111,75.75,0,2.73,166.5,25,75,0
Asim Kamal,31/05/1976,Pakistan,12,3137,-1,37.74,-1,-1,-1,-1,-1,-1
"Astle, Nathan J",15/09/1971,New Zealand,81,2046,948,42.02,0,2.26,111.53,29.4,47.1,23.5
"Astle, Todd D",24/09/1986,New Zealand,1,3978,31,97,0,3.13,186,0,100,0
"Atapattu, Marvan S",22/11/1972,Sri Lanka,90,100,8,24,0,3,48,0,100,0
Ata-Ur-Rehman,28/03/1975,Pakistan,13,1799,328.5,34.55,0,3.26,63.65,45.2,41.9,12.9
"Atherton, Michael A",23/05/1968,England,115,101,68,151,0,4.44,204,0,100,0
